term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
const,-2.083925177289087,0.005970052234332709,-349.0631397334858,0.0,-2.0956262646542023,-2.072224089923972,model_interaction_probit
omega,0.002667414956567738,0.00015509707808939938,17.198357244552444,2.7316674705030484e-66,0.002363430269405119,0.002971399643730357,model_interaction_probit
mujer,0.9440387878094123,0.0018616971393127836,507.0850504491238,0.0,0.940389928466238,0.9476876471525866,model_interaction_probit
capital_humano,-0.029167989506573976,0.00011127721669371561,-262.1200491279114,0.0,-0.02938608884359352,-0.028949890169554432,model_interaction_probit
edad,0.030737411720071963,0.0002701797939437415,113.76650811449022,0.0,0.030207869054591777,0.03126695438555215,model_interaction_probit
edad2,-0.0002880154884499883,3.4100153211668815e-06,-84.46164058624568,0.0,-0.00029469899566620517,-0.0002813319812337714,model_interaction_probit
ruralidad,0.24899251022777197,0.0026177095213097763,95.11846452053551,0.0,0.2438618938440172,0.2541231266115267,model_interaction_probit
inter_rural_mujer,-0.0532321209576236,0.003105635503860113,-17.14049214450935,7.402149659172545e-66,-0.05931905469429832,-0.047145187220948875,model_interaction_probit
inter_omega_mujer,-0.0006643919626070125,0.00019314762192183745,-3.439814355446101,0.0005821133285207345,-0.0010429543452733728,-0.0002858295799406521,model_interaction_probit
idep_2,-0.2301584498360214,0.0028694372712828225,-80.2103088781327,0.0,-0.23578244354363262,-0.2245344561284102,model_interaction_probit
idep_3,-0.1777365206682712,0.003002988207352426,-59.186552991818765,0.0,-0.18362226940068044,-0.17185077193586196,model_interaction_probit
idep_4,-0.14103213279860774,0.003816329653077066,-36.954913652413396,6.073289563304021e-299,-0.14851200147177102,-0.13355226412544446,model_interaction_probit
idep_5,0.011339723913258593,0.0033657820986611004,3.369120038332103,0.0007540858030258257,0.004742912220073198,0.01793653560644399,model_interaction_probit
idep_6,-0.07495485913798364,0.0038183246126330984,-19.630300391431394,8.520944375841311e-86,-0.08243863786002736,-0.06747108041593991,model_interaction_probit
idep_7,-0.09444347763995674,0.002875425524033425,-32.84504392500443,1.3405898348412661e-236,-0.10007920810728946,-0.08880774717262402,model_interaction_probit
idep_8,-0.06964551675052062,0.004071415554838823,-17.10597108363155,1.3395048017845725e-65,-0.07762534460410088,-0.061665688896940365,model_interaction_probit
idep_9,-0.0732568260150306,0.006386597747519803,-11.470399250286187,1.8580006389766666e-30,-0.08577432758391404,-0.06073932444614715,model_interaction_probit
