term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
const,0.017135715715684702,0.010895278662826439,1.5727652541967547,0.11577318383514253,-0.004218638064982839,0.03849006949635224,model_interaction_lpm
omega,0.00017312029407749765,7.630692421708189e-05,2.2687363676852716,0.023284362613772477,2.356147084098988e-05,0.0003226791173140054,model_interaction_lpm
mujer,0.14828145255930497,0.0026810165118398787,55.307922164770666,0.0,0.14302675675414162,0.15353614836446833,model_interaction_lpm
capital_humano,-0.006260107281608226,0.00012290007014776006,-50.9365639424114,0.0,-0.006500986992795282,-0.006019227570421171,model_interaction_lpm
edad,0.005278239343522302,0.0005434600048411512,9.712286638397774,2.672726499846261e-22,0.004213077306995682,0.006343401380048922,model_interaction_lpm
edad2,-4.749482354558782e-05,6.361003242052279e-06,-7.466561757365864,8.231734839708123e-14,-5.9962160805552806e-05,-3.5027486285622835e-05,model_interaction_lpm
ruralidad,0.012985404949296125,0.001693703821405894,7.666868779050945,1.7624592271593442e-14,0.009665806458862712,0.016305003439729536,model_interaction_lpm
inter_rural_mujer,0.05295743146291907,0.003115652565122979,16.99721979778216,8.610803095827442e-65,0.046850864646938196,0.059063998278899944,model_interaction_lpm
inter_omega_mujer,0.0005753751158091502,0.0001462742867726924,3.9335356097361984,8.370543145616672e-05,0.00028868278187038946,0.0008620674497479109,model_interaction_lpm
idep_2,-0.04727531179414602,0.003321902948987289,-14.231394631368838,5.850329414950225e-46,-0.053786121934298506,-0.040764501653993535,model_interaction_lpm
idep_3,-0.0374020247846769,0.0031833420216472266,-11.749295089983184,7.121038579535009e-32,-0.04364126049757839,-0.03116278907177541,model_interaction_lpm
idep_4,-0.02992124435497285,0.003465175748538602,-8.634841787632789,5.880837281761037e-18,-0.036712864022210134,-0.023129624687735568,model_interaction_lpm
idep_5,0.0042196481261670945,0.0035252182900231493,1.1969891731553977,0.23131077476678763,-0.0026896527599201527,0.011128949012254342,model_interaction_lpm
idep_6,-0.018189334480658174,0.003537498384405767,-5.1418636856038145,2.7202646208813204e-07,-0.025122703909462106,-0.011255965051854243,model_interaction_lpm
idep_7,-0.0227134867209736,0.003616648569598986,-6.280258168266559,3.3801126884067977e-10,-0.029801987662125915,-0.015624985779821281,model_interaction_lpm
idep_8,-0.01958954055944318,0.003137969712095829,-6.242743670830225,4.2996120739022976e-10,-0.025739848179728526,-0.01343923293915783,model_interaction_lpm
idep_9,-0.01937939710077751,0.003549212615162553,-5.460196162378945,4.756087881521493e-08,-0.026335725999971332,-0.012423068201583688,model_interaction_lpm
