omega,n,pct
1.0,4293985,58.61469006111702
1.5,1132189,15.454853085328898
2.0,19699,0.26889958383970697
3.0,205543,2.8057478634024515
4.5,132045,1.8024694425155645
5.0,43417,0.5926601975515792
6.0,722612,9.863955839259777
7.5,10074,0.13751431075695253
9.0,161626,2.2062624568595606
10.0,28882,0.39425137217414163
15.0,178885,2.4418550208216647
30.0,396826,5.416840766372687
