term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
const,-3.3865166239401154,0.011086961219113102,-305.4503896073895,0.0,-3.4082466686275694,-3.3647865792526614,model_extended_logit
omega,0.0030917986597749675,0.0003236307679180433,9.553475646536606,1.2541656421618556e-21,0.002457494010366562,0.003726103309183373,model_extended_logit
mujer,1.9137848872631174,0.004007774310989626,477.51812820781146,0.0,1.905929793955413,1.9216399805708217,model_extended_logit
capital_humano,-0.04556672451238527,0.00021079851820839083,-216.16245170821836,0.0,-0.045979882016068126,-0.04515356700870241,model_extended_logit
edad,0.05906044089939476,0.0005053758094967237,116.86440029294208,0.0,0.05806992251412341,0.06005095928466611,model_extended_logit
edad2,-0.0005237431603289328,6.318836964100327e-06,-82.8860062863646,0.0,-0.0005361278532027498,-0.0005113584674551157,model_extended_logit
ruralidad,0.3852093531058098,0.005948821989561625,64.75388804400856,0.0,0.3735498762558291,0.3968688299557905,model_extended_logit
inter_rural_mujer,-0.25281397624430774,0.006223127394562646,-40.62490773773967,0.0,-0.26501108180885513,-0.24061687067976037,model_extended_logit
inter_omega_mujer,-0.004170747854192691,0.00037022540279240654,-11.265428635461086,1.9440364338326743e-29,-0.004896376309827643,-0.0034451193985577397,model_extended_logit
tot_pers,0.06412776759630004,0.0005515149272702421,116.27566984216452,0.0,0.06304681820191414,0.06520871699068594,model_extended_logit
v14_dormit,-0.09468271281863323,0.0011274569760022575,-83.97900304307811,0.0,-0.0968924878857161,-0.09247293775155037,model_extended_logit
idep_2,-0.44727759452887816,0.005324706198291979,-84.00042704184366,0.0,-0.45771382690578766,-0.43684136215196867,model_extended_logit
idep_3,-0.3190755305042468,0.005502260878217957,-57.98989498433002,0.0,-0.32985976365909775,-0.30829129734939587,model_extended_logit
idep_4,-0.2776435864755415,0.006999752580775698,-39.66477147179017,0.0,-0.29136284943455315,-0.26392432351652984,model_extended_logit
idep_5,0.02277070983621444,0.006059177558076551,3.7580529070091924,0.00017124067922057894,0.01089494004645105,0.03464647962597783,model_extended_logit
idep_6,-0.1264823742108314,0.0069748126820774895,-18.134160726042303,1.712941695816864e-73,-0.1401527558666165,-0.11281199255504629,model_extended_logit
idep_7,-0.20130119700581584,0.005389422886431514,-37.351160086660585,2.4278415705197023e-305,-0.21186427176067751,-0.19073812225095416,model_extended_logit
idep_8,-0.23163696308559997,0.0077157690359240284,-30.021241175975597,5.184039291654411e-198,-0.2467595925090404,-0.21651433366215955,model_extended_logit
idep_9,-0.2009877877133295,0.011936957163862167,-16.837438968265552,1.2973092559993312e-63,-0.22438379383949675,-0.17759178158716227,model_extended_logit
v06_piso_2,-0.11075110678542294,0.009289606431106134,-11.92204509488951,9.08506609855562e-33,-0.12895840082094262,-0.09254381274990325,model_extended_logit
